epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,4460.9,0.51361,0.89649,0.94413,1.01067,0,0.95997,0.95734,0.97111,0.84124,0.95681,0.95419,0.97074,0.8066,0.50412,0.7949,0.86184,0.95955,0,0.000747192,0.000747192,0.000747192
46,4559.18,0.50211,0.89178,0.93304,1.00893,0,0.96505,0.95903,0.9705,0.84635,0.973,0.94958,0.97039,0.81081,0.49407,0.78172,0.86344,0.95332,0,0.000728044,0.000728044,0.000728044
47,4657.91,0.51208,0.90867,0.94732,1.0129,0,0.96584,0.95483,0.97142,0.84555,0.96265,0.95168,0.97097,0.79989,0.4918,0.78148,0.85118,0.94645,0,0.0007088,0.0007088,0.0007088
48,4757.72,0.51321,0.90874,0.93175,1.01229,0,0.97128,0.95168,0.9707,0.84317,0.97314,0.95128,0.97063,0.80984,0.49793,0.78006,0.88252,0.94729,0,0.00068948,0.00068948,0.00068948
49,4855.71,0.5048,0.91044,0.91993,1.00989,0,0.97581,0.95903,0.98168,0.84643,0.97474,0.95798,0.9723,0.81612,0.50527,0.79575,0.89417,0.95168,0,0.000670102,0.000670102,0.000670102
50,4954.71,0.51144,0.89774,0.89881,1.00829,0,0.97509,0.94583,0.97128,0.84983,0.97611,0.94411,0.971,0.80675,0.47689,0.81749,0.82506,0.92495,0,0.000650685,0.000650685,0.000650685
51,5054.77,0.49517,0.89439,0.91343,0.99615,0,0.97255,0.94958,0.97993,0.85265,0.97201,0.94853,0.97966,0.80969,0.49345,0.79859,0.85549,0.95247,0,0.00063125,0.00063125,0.00063125
52,5192.7,0.50176,0.88099,0.90599,1.00441,0,0.95619,0.96288,0.98053,0.85549,0.9598,0.96113,0.98048,0.81073,0.49534,0.79405,0.84559,0.94734,0,0.000611815,0.000611815,0.000611815
53,5345.82,0.49593,0.89215,0.89305,0.99989,0,0.9633,0.96497,0.98117,0.86235,0.96449,0.96218,0.9719,0.80348,0.46311,0.79336,0.77726,0.91652,0,0.000592398,0.000592398,0.000592398
54,5449.19,0.49755,0.90161,0.90425,1.00604,0,0.95737,0.9672,0.9807,0.86496,0.95737,0.9672,0.98072,0.81153,0.46004,0.78685,0.75579,0.92398,0,0.00057302,0.00057302,0.00057302
55,5619.43,0.48757,0.87345,0.86288,0.99961,0,0.96557,0.95588,0.9716,0.85661,0.96099,0.9575,0.97129,0.80913,0.4659,0.79178,0.783,0.92417,0,0.0005537,0.0005537,0.0005537
56,5849.08,0.48489,0.88447,0.8703,0.99239,0,0.96705,0.95378,0.97212,0.86236,0.96705,0.95378,0.97215,0.81662,0.46686,0.77758,0.79642,0.92814,0,0.000534456,0.000534456,0.000534456
57,5948.35,0.4885,0.85753,0.86409,0.99937,0,0.96635,0.96218,0.98101,0.86599,0.96424,0.96008,0.98063,0.81944,0.46121,0.79354,0.77177,0.91328,0,0.000515308,0.000515308,0.000515308
58,6045.92,0.48728,0.87473,0.8787,0.99988,0,0.96323,0.96314,0.98121,0.87331,0.96323,0.96314,0.98123,0.82141,0.45433,0.78384,0.7472,0.91426,0,0.000496274,0.000496274,0.000496274
59,6145.09,0.4785,0.8674,0.86353,0.98821,0,0.96441,0.95483,0.97119,0.85717,0.96441,0.95483,0.97125,0.80589,0.46782,0.7722,0.7939,0.91758,0,0.000477373,0.000477373,0.000477373
60,6243.47,0.48122,0.88444,0.86211,0.99419,0,0.96621,0.96113,0.98072,0.86804,0.96409,0.95903,0.97133,0.81307,0.45442,0.78017,0.75813,0.90924,0,0.000458624,0.000458624,0.000458624
61,6340.73,0.48193,0.87521,0.83947,0.99765,0,0.96112,0.96218,0.98135,0.86499,0.96112,0.96218,0.98124,0.81269,0.45255,0.79663,0.75328,0.90989,0,0.000440046,0.000440046,0.000440046
62,6438.08,0.47127,0.86246,0.83744,0.99204,0,0.95465,0.97479,0.98098,0.86458,0.9526,0.97269,0.98073,0.8144,0.45811,0.75937,0.75146,0.91143,0,0.000421656,0.000421656,0.000421656
63,6537.09,0.47261,0.8725,0.83544,0.9877,0,0.95811,0.96954,0.98106,0.86817,0.95604,0.96744,0.9808,0.81249,0.45246,0.7688,0.74047,0.91596,0,0.000403473,0.000403473,0.000403473
64,6633.15,0.47778,0.86433,0.84807,0.99609,0,0.95365,0.96954,0.9808,0.86931,0.95365,0.96954,0.98076,0.82259,0.45074,0.77415,0.74793,0.90969,0,0.000385515,0.000385515,0.000385515
65,6730.82,0.47574,0.86227,0.83033,0.99113,0,0.9613,0.96545,0.98065,0.87312,0.9613,0.96545,0.98063,0.81571,0.44711,0.76157,0.74567,0.90813,0,0.000367799,0.000367799,0.000367799
66,6829.32,0.46822,0.85593,0.82189,0.98702,0,0.9686,0.96008,0.9811,0.86809,0.96754,0.95903,0.97179,0.81435,0.45331,0.75873,0.7465,0.9107,0,0.000350343,0.000350343,0.000350343
67,6927.01,0.46853,0.86985,0.82086,0.98866,0,0.96591,0.96113,0.98157,0.87942,0.9638,0.95903,0.98115,0.81857,0.43134,0.75783,0.68206,0.88976,0,0.000333165,0.000333165,0.000333165
68,7023.99,0.46704,0.84236,0.80817,0.99451,0,0.95946,0.96951,0.98094,0.87195,0.95833,0.96849,0.98084,0.81761,0.44032,0.7604,0.72991,0.90105,0,0.000316281,0.000316281,0.000316281
69,7120.47,0.44305,0.83543,0.78608,0.9792,0,0.95174,0.97355,0.98128,0.87351,0.95071,0.9725,0.98122,0.82034,0.43841,0.76831,0.70591,0.90293,0,0.000299707,0.000299707,0.000299707
70,7218.49,0.46552,0.86393,0.81189,0.98486,0,0.96245,0.9693,0.98123,0.87085,0.96228,0.96954,0.98114,0.81086,0.44149,0.77377,0.70982,0.89979,0,0.000283461,0.000283461,0.000283461
71,7316.44,0.45759,0.85008,0.7889,0.97613,0,0.95897,0.96639,0.98121,0.86982,0.95897,0.96639,0.98122,0.82051,0.43947,0.76477,0.71993,0.89834,0,0.000267558,0.000267558,0.000267558
72,7412.96,0.46582,0.85925,0.78012,0.98653,0,0.95894,0.96534,0.98098,0.87841,0.95894,0.96534,0.98098,0.82567,0.43372,0.76809,0.70376,0.89345,0,0.000252014,0.000252014,0.000252014
73,7509.56,0.45304,0.87143,0.78606,0.9815,0,0.96067,0.96744,0.98132,0.87664,0.95963,0.96639,0.98108,0.81792,0.43097,0.76137,0.68927,0.89091,0,0.000236844,0.000236844,0.000236844
74,7609.22,0.45275,0.85183,0.77011,0.98343,0,0.96263,0.96113,0.98175,0.86847,0.9714,0.95273,0.98173,0.81365,0.44123,0.78111,0.71579,0.90067,0,0.000222063,0.000222063,0.000222063
75,7707.18,0.44349,0.85067,0.75922,0.97152,0,0.97839,0.95124,0.98168,0.87166,0.97731,0.95019,0.98151,0.81613,0.43966,0.77469,0.71615,0.90035,0,0.000207686,0.000207686,0.000207686
76,7804.04,0.44607,0.8375,0.77691,0.98219,0,0.97423,0.95309,0.98161,0.87571,0.97208,0.95099,0.98136,0.81748,0.44054,0.76199,0.7294,0.89937,0,0.000193728,0.000193728,0.000193728
77,7901.62,0.44412,0.84853,0.75333,0.97625,0,0.95703,0.97374,0.98166,0.87846,0.95497,0.97164,0.98155,0.82047,0.43463,0.77225,0.67038,0.89392,0,0.000180201,0.000180201,0.000180201
78,8000.99,0.4506,0.85155,0.7474,0.98493,0,0.95663,0.96954,0.98146,0.87902,0.95455,0.96744,0.98125,0.82177,0.42692,0.74381,0.66871,0.89253,0,0.000167119,0.000167119,0.000167119
79,8100.39,0.43521,0.84009,0.7229,0.97146,0,0.96252,0.971,0.98186,0.88137,0.96147,0.96995,0.9817,0.81763,0.42501,0.76071,0.66064,0.88688,0,0.000154495,0.000154495,0.000154495
80,8199.71,0.44538,0.84002,0.73988,0.98293,0,0.96823,0.96049,0.98169,0.87987,0.96717,0.95944,0.98162,0.82258,0.42607,0.75275,0.64843,0.88796,0,0.000142342,0.000142342,0.000142342
81,8299.92,0.44247,0.84354,0.74463,0.97122,0,0.96602,0.96744,0.98171,0.88365,0.96497,0.96639,0.98163,0.8218,0.4214,0.74314,0.65301,0.88454,0,0.000130671,0.000130671,0.000130671
