epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,439.538,1.82002,3.47605,1.82,2.11643,0,0.46739,0.2349,0.15046,0.06029,0.00723,0.07912,0.00831,0.00242,2.3948,3.7724,1.96071,2.39451,0,0.00089141,0.00089141,0.00089141
40,450.581,1.74251,3.37067,1.58593,2.04901,0,0.45816,0.22725,0.18859,0.07188,0.00883,0.09319,0.01408,0.00307,2.3189,3.63393,1.8821,2.30113,0,0.000877263,0.000877263,0.000877263
41,461.64,1.75022,3.3712,1.57659,2.02783,0,0.47584,0.21553,0.19805,0.06894,0.00991,0.10303,0.01504,0.00326,2.43292,3.68867,1.90483,2.36985,0,0.000863116,0.000863116,0.000863116
42,472.667,1.76136,3.39509,1.56362,2.04548,0,0.46678,0.17679,0.1948,0.071,0.34424,0.02157,0.00299,0.00067,2.4041,3.65857,1.8943,2.32392,0,0.000848969,0.000848969,0.000848969
43,483.773,1.76852,3.38254,1.56693,2.05189,0,0.42536,0.15612,0.13715,0.05869,0.00952,0.06881,0.002,0.0004,2.23748,3.45855,1.8797,2.17976,0,0.000834822,0.000834822,0.000834822
44,494.877,1.8349,3.47661,1.73901,2.0626,0,0.45854,0.15966,0.23572,0.08405,0.01025,0.10538,0.00761,0.00165,2.30438,3.47696,1.83538,2.24786,0,0.000820675,0.000820675,0.000820675
45,506.117,1.71565,3.39482,1.56871,2.00627,0,0.84507,0.11346,0.14925,0.05695,0.00801,0.06412,0.00156,0.00034,2.34292,3.5554,1.79472,2.32574,0,0.000806528,0.000806528,0.000806528
46,517.563,1.80242,3.35979,1.6594,2.05617,0,0.83742,0.13295,0.15627,0.06392,0.00669,0.05568,0.00113,0.00026,2.20241,3.60366,1.7903,2.2283,0,0.00079238,0.00079238,0.00079238
47,528.678,1.69984,3.32321,1.4981,2.00298,0,0.49626,0.15016,0.15769,0.06964,0.006,0.04735,0.001,0.00022,2.10304,3.53321,1.77137,2.11569,0,0.000778233,0.000778233,0.000778233
48,539.989,1.70278,3.34881,1.53036,2.00481,0,0.83144,0.13033,0.17176,0.07786,0.00738,0.05803,0.00167,0.0003,2.13615,3.4202,1.80929,2.12297,0,0.000764086,0.000764086,0.000764086
49,551.382,1.70275,3.36262,1.60684,2.05019,0,0.50244,0.12893,0.19556,0.0865,0.00787,0.06542,0.00159,0.00029,2.20914,3.49233,1.77972,2.18194,0,0.000749939,0.000749939,0.000749939
50,562.48,1.72905,3.35855,1.54806,2.06477,0,0.37917,0.54409,0.26649,0.09711,0.17335,0.09225,0.03966,0.00408,2.23772,3.44432,1.68702,2.20624,0,0.000735792,0.000735792,0.000735792
51,573.612,1.68463,3.30637,1.51609,1.98266,0,0.48714,0.31228,0.26199,0.10137,0.04398,0.12893,0.05801,0.00976,2.18436,3.32328,1.66035,2.12897,0,0.000721645,0.000721645,0.000721645
52,584.603,1.69191,3.34591,1.51628,1.98275,0,0.49524,0.29973,0.21479,0.09521,0.013,0.13455,0.01236,0.0042,2.17599,3.32772,1.66129,2.1134,0,0.000707498,0.000707498,0.000707498
53,595.495,1.69404,3.25846,1.44472,1.98714,0,0.47072,0.30561,0.2358,0.09764,0.01312,0.1545,0.01216,0.00366,2.20491,3.41542,1.65883,2.18852,0,0.000693351,0.000693351,0.000693351
54,606.407,1.64231,3.24625,1.41911,2.00326,0,0.45437,0.30972,0.22441,0.08413,0.01068,0.10679,0.02203,0.00457,2.28434,3.40469,1.71732,2.28415,0,0.000679204,0.000679204,0.000679204
55,617.284,1.73372,3.20846,1.43181,2.04153,0,0.52915,0.21278,0.23233,0.0992,0.01217,0.14981,0.00752,0.0016,2.15382,3.37621,1.60707,2.13685,0,0.000665057,0.000665057,0.000665057
56,628.135,1.73539,3.23125,1.43967,2.04311,0,0.44416,0.18373,0.22495,0.10014,0.01432,0.10574,0.0423,0.00513,2.1075,3.31444,1.59779,2.11213,0,0.000650909,0.000650909,0.000650909
57,639.098,1.65554,3.21531,1.48644,1.97687,0,0.85289,0.12846,0.23815,0.09992,0.01271,0.10725,0.00678,0.00171,2.10158,3.34072,1.60269,2.14669,0,0.000636762,0.000636762,0.000636762
58,650.033,1.70195,3.27727,1.43643,2.00855,0,0.85716,0.13315,0.19263,0.08391,0.00985,0.07339,0.00251,0.00052,2.10389,3.51361,1.63967,2.15495,0,0.000622615,0.000622615,0.000622615
59,660.914,1.5539,3.15537,1.37259,1.93602,0,0.85136,0.13643,0.22663,0.11505,0.01022,0.0735,0.00246,0.00055,2.11316,3.39204,1.62447,2.12679,0,0.000608468,0.000608468,0.000608468
60,671.955,1.66244,3.20304,1.43898,2.00207,0,0.49558,0.27458,0.30536,0.13327,0.01326,0.13189,0.00577,0.0011,2.16039,3.22782,1.62086,2.11291,0,0.000594321,0.000594321,0.000594321
61,683.006,1.63606,3.22439,1.49684,1.96201,0,0.47785,0.29291,0.33323,0.15265,0.01301,0.12273,0.0087,0.00157,2.15515,3.27037,1.63289,2.11448,0,0.000580174,0.000580174,0.000580174
62,694.521,1.5986,3.22463,1.43209,1.95159,0,0.86169,0.13502,0.24775,0.10335,0.01019,0.07725,0.00275,0.00058,2.16632,3.32898,1.61794,2.12977,0,0.000566027,0.000566027,0.000566027
63,705.595,1.66166,3.12862,1.40623,2.00271,0,0.87349,0.13566,0.20518,0.08902,0.34615,0.06095,0.00337,0.00072,2.14607,3.30628,1.58835,2.10899,0,0.00055188,0.00055188,0.00055188
64,716.623,1.71042,3.26728,1.50222,1.99145,0,0.86921,0.13722,0.20018,0.09373,0.34922,0.0497,0.00455,0.00093,2.11413,3.26895,1.5612,2.08703,0,0.000537733,0.000537733,0.000537733
65,727.726,1.62784,3.25977,1.50574,2.01714,0,0.88579,0.13313,0.20511,0.09718,0.01054,0.06376,0.00269,0.00062,2.13968,3.30304,1.55583,2.09151,0,0.000523586,0.000523586,0.000523586
66,738.901,1.63689,3.11753,1.38543,1.97416,0,0.86465,0.12096,0.19908,0.08321,0.01257,0.06834,0.00361,0.00071,2.26027,3.39358,1.6396,2.22207,0,0.000509438,0.000509438,0.000509438
67,750.164,1.69574,3.18217,1.41365,2.00663,0,0.86716,0.11627,0.19766,0.08058,0.3502,0.03751,0.00407,0.00084,2.29378,3.39711,1.65743,2.26115,0,0.000495291,0.000495291,0.000495291
68,761.501,1.64518,3.13501,1.37195,1.9945,0,0.87662,0.13643,0.20442,0.09504,0.68225,0.04173,0.00347,0.00088,2.10128,3.15542,1.53446,2.06554,0,0.000481144,0.000481144,0.000481144
69,772.654,1.67935,3.19839,1.4787,1.98663,0,0.87294,0.14065,0.21137,0.09889,0.68219,0.04501,0.00379,0.00089,2.07408,3.16113,1.53897,2.0484,0,0.000466997,0.000466997,0.000466997
70,783.861,1.54167,3.11429,1.35977,1.94773,0,0.86867,0.1369,0.21346,0.09126,0.34938,0.04782,0.00376,0.00081,2.1447,3.2436,1.57927,2.09191,0,0.00045285,0.00045285,0.00045285
