epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,4235.31,0.07971,0.19283,0.97965,1.17366,0,0.81827,0.74336,0.77494,0.60474,0.79084,0.72944,0.73564,0.56667,0.08854,0.19779,1.03419,0.95434,0,0.0010496,0.0010496,0.0010496
50,4294.23,0.07554,0.1895,0.9221,1.15033,0,0.78441,0.71481,0.7523,0.5943,0.7961,0.70265,0.73425,0.55687,0.09192,0.19721,1.12325,0.98764,0,0.0010298,0.0010298,0.0010298
51,4353.09,0.07706,0.1854,0.92015,1.16001,0,0.8302,0.70619,0.74787,0.57405,0.82715,0.69381,0.73318,0.54409,0.09471,0.19595,1.08445,1.00385,0,0.00101,0.00101,0.00101
52,4412.49,0.07918,0.18537,0.93939,1.17228,0,0.8254,0.71504,0.75953,0.5997,0.8411,0.67453,0.73111,0.56567,0.08615,0.18117,1.00484,0.94186,0,0.0009902,0.0009902,0.0009902
53,4471.73,0.07548,0.18645,0.93285,1.16174,0,0.77207,0.74867,0.7513,0.57376,0.76662,0.74513,0.73104,0.52948,0.09258,0.20601,1.11764,0.99331,0,0.0009704,0.0009704,0.0009704
54,4530.51,0.07715,0.18836,0.9406,1.15749,0,0.82517,0.72678,0.74702,0.5875,0.81353,0.69495,0.72015,0.5432,0.08989,0.20516,1.02213,0.97894,0,0.0009506,0.0009506,0.0009506
55,4588.88,0.07737,0.18317,0.89926,1.15918,0,0.85022,0.70327,0.75803,0.59198,0.8367,0.71641,0.7442,0.54204,0.08948,0.19166,1.03624,0.94649,0,0.0009308,0.0009308,0.0009308
56,4647.52,0.07652,0.18316,0.88742,1.14829,0,0.79955,0.7469,0.76296,0.60868,0.79889,0.72566,0.73648,0.55269,0.08837,0.19399,0.99547,0.95457,0,0.000911,0.000911,0.000911
57,4706.35,0.07615,0.19147,0.91683,1.15507,0,0.8456,0.72389,0.77165,0.62092,0.84353,0.72212,0.75887,0.57176,0.08644,0.18469,0.96108,0.94134,0,0.0008912,0.0008912,0.0008912
58,4765.8,0.07659,0.18471,0.91623,1.15762,0,0.82202,0.71936,0.75482,0.6028,0.82117,0.70088,0.73612,0.55261,0.08308,0.18162,1.03583,0.92995,0,0.0008714,0.0008714,0.0008714
59,4824.16,0.07389,0.18485,0.89232,1.14058,0,0.86669,0.7115,0.76661,0.60171,0.84636,0.69558,0.73535,0.56608,0.08845,0.17642,0.97773,0.96298,0,0.0008516,0.0008516,0.0008516
60,4882.51,0.07061,0.17455,0.85652,1.11602,0,0.8041,0.74103,0.7612,0.61425,0.80258,0.74111,0.75263,0.57429,0.08623,0.18675,0.9765,0.94752,0,0.0008318,0.0008318,0.0008318
